piece_id,harmonic_authenticity,swing_feel,improv_coherence,idiomatic_vocabulary,ensemble_interaction,formal_structure,total_score,timestamp_notes
Blue Dorian Drift,4,3,4,3,3,2,19,Style shift at 1:34 modal→swing then back at 3:30. Macro-incoherent over 4 mins but micro-level sounds good. ii-V-Is present but tool missed them. A section only — no clear B section.
Whispers of the Dorian Sky ext v2 - FuchsiaSoaringVuvuzela182103,2,2,1,2,2,1,10,Starts fine but devolves into chaos. Swing breaks at 0:32; random chords at 0:47; incoherent fast runs at 0:55. Percussion doesn't follow same swing. Zero repetition or formal structure.
Rail Yard Bop,4,5,4,4,5,4,26,Classic bebop feel with many ii-V-Is. Swing sounds convincing despite tool rating it as weak. Generic but competent — jazz musician would call it bad not AI-generated.
Moonlit Voicings,4,4,4,4,4,3,23,6/8 ballad feel. Piano comping slightly off-time. 3-2-5-1 progressions from 0:01. Chords occasionally out of place making section boundaries unclear. Would fool most listeners.
Corner Pocket Riff,3,5,3,4,5,5,25,Big-band up-tempo swing. Perfect swing and ensemble interaction. Harmonically generic — no extensions or tension. No clear melody. Form executed well. Passes as beginner/intermediate jazz; hard to identify as AI.
latin_bop,3,3,2,3,4,2,17,Doesn't encapsulate true Latin feel. Clave not convincing or developed. No solo. Repetitive and generic but follows jazz rules. Ensemble interaction good but no call-and-response.
Sprint_of_the_Brass,2,3,4,5,4,2,20,Good solos (xylophone at 1:53 — 5/5 vocabulary). Swing too relaxed for bebop. No clear melody or harmonic progression. Abrupt ending at 3:00. Micro-coherence excellent; macro-coherence poor.
Blue_and_Purple,4,3,3,3,5,2,20,Lush extensions with good voice leading. Timbre slightly off. Ensemble interaction perfect (piano response at 2:04). Swing inconsistent. Structure weak. Passes as ambient jazz.
Lush Chord Dreams ext v1.1.1.1fuchsiasoaringvuvuzela182103,4,4,4,4,5,2,23,Strong chords with ii-V-Is and voice leading. Slow jazz feel with great percussion. Solo comparable to real jazz pianist. Abrupt ending. Could fool most musicians and non-musicians.
Chasing the High Flight - FuchsiaSoaringVuvuzela182103,2,3,2,3,2,1,13,No chord progression despite correct individual notes. Percussion static throughout — zero call-and-response. Solo sporadic and random. No structure. Detectable as AI by most listeners.
Blue Note Bounce,4,4,4,3,3,3,21,12-bar blues–influenced. Swing convincing but mechanically perfect — fills identical throughout. Improv coherent with discernible climax. Missing blues licks and embellishments. Ensemble co-exists but does not interact. Would fool casual listeners.
The_Flaming_Band,3,2,3,2,4,3,17,Brass head feels incorrect — phantom harmonics work but no functional ii-V-Is. Swing collapses at 2:45. Piano solo coherent; brass sections not. Call-and-response the strongest axis. Too random and aimless — detectable by casual listeners and definitive for jazz musicians.
